Number,Name,Latitude,Longitude,District,Public,Total docks
S32011,Teele Square,42.4023170338,-71.1267112942,Somerville,Yes,15
E32011,The Dimock Center,42.3193094318,-71.0963992386,Boston,Yes,16
A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15
C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19
D32054,The Overlook at St. Gabriel's,42.3467900835,-71.1454981381,Boston,Yes,19
C32049,Thetford Ave at Norfolk St,42.2862129482,-71.0794293137,Boston,Yes,15
M32048,Third at Binney,42.3654448614,-71.0827714205,Cambridge,Yes,15
C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19
B32056,Tremont St at Hamilton Pl,42.3566833497,-71.0616664588,Boston,Yes,19
C32056,Tremont St at Northampton St,42.3388955964,-71.0814997561,Boston,Yes,19
C32060,Tremont St at W. Dedham St,42.3425491374,-71.0742144939,Boston,Yes,15
D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15
C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14
A32001,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,Boston,Yes,19
S32002,Union Square - Somerville,42.379674481,-71.0939132424,Somerville,Yes,19
C32014,University of Massachusetts Boston - Campus Center,42.3121891848,-71.036485862,Boston,Yes,19
M32040,University Park,42.3626477912,-71.1000609398,Cambridge,Yes,19
C32019,Uphams Corner,42.3172747433,-71.0653700397,Boston,Yes,15
B32025,Uphams Corner T Stop - Magnolia St at Dudley St,42.3186973417,-71.0697814822,Boston,Yes,15
M32057,Vassal Lane at Tobin/VLUS,42.3839322489,-71.1396127196,Cambridge,Yes,19
M32050,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.1130535603,Cambridge,Yes,19
C32029,W Broadway at D St,42.3391085,-71.0514432,Boston,Yes,23
C32016,W Broadway at Dorchester St,42.3359589794,-71.0462289956,Boston,Yes,17
B32030,Walnut Ave at Warren St,42.324081,-71.083235,Boston,Yes,15
D32021,Warren St at Chelsea St,42.371848,-71.060292,Boston,Yes,23
K32014,Washington Sq,42.339406592,-71.1348964227,Brookline,Yes,15
C32042,Washington St at Bradlee St,42.2991649794,-71.0734587165,Boston,Yes,15
D32029,Washington St at Brock St,42.3489528467,-71.1603167653,Boston,Yes,15
C32081,Washington St at Denton Terr,42.2807281472,-71.1342375727,Boston,Yes,19
A32037,Washington St at Egremont Rd,42.3428683507,-71.1412784086,Boston,Yes,15
C32084,Washington St at Fuller St,42.2819862773,-71.0714792462,Boston,Yes,15
K32011,Washington St at Griggs Rd,42.3383342372,-71.1305093022,Brookline,Yes,15
C32005,Washington St at Lenox St,42.3350989929,-71.0790377855,Boston,Yes,15
B32026,Washington St at Melnea Cass Blvd,42.332817,-71.081198,Boston,Yes,19
